index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
82,-4.6679687,56.0301382,1,Helensburgh to Balloch,9,14.4,1.5
83,-4.6677002,56.0301605,1,Helensburgh to Balloch,9,14.4,1.5
84,-4.6675049,56.0301686,1,Helensburgh to Balloch,9,14.4,1.5
85,-4.6653247,56.0297379,1,Helensburgh to Balloch,9,14.4,1.5
86,-4.6604271,56.0287169,1,Helensburgh to Balloch,9,14.4,1.5
87,-4.6590576,56.028422,1,Helensburgh to Balloch,9,14.4,1.5
88,-4.6571559,56.028117,1,Helensburgh to Balloch,9,14.4,1.5
89,-4.6561898,56.027965,1,Helensburgh to Balloch,9,14.4,1.5
90,-4.6547269,56.0277823,1,Helensburgh to Balloch,9,14.4,1.5
91,-4.6524194,56.0275343,1,Helensburgh to Balloch,9,14.4,1.5
92,-4.651839,56.0274474,1,Helensburgh to Balloch,9,14.4,1.5
93,-4.6512295,56.0273189,1,Helensburgh to Balloch,9,14.4,1.5
94,-4.6508341,56.0272173,1,Helensburgh to Balloch,9,14.4,1.5
95,-4.6489889,56.0267228,1,Helensburgh to Balloch,9,14.4,1.5
96,-4.647589,56.026447,1,Helensburgh to Balloch,9,14.4,1.5
97,-4.6467943,56.0263574,1,Helensburgh to Balloch,9,14.4,1.5
98,-4.6429108,56.0261006,1,Helensburgh to Balloch,9,14.4,1.5
99,-4.6398053,56.0258879,1,Helensburgh to Balloch,9,14.4,1.5
100,-4.6374177,56.0258613,1,Helensburgh to Balloch,9,14.4,1.5
101,-4.6359114,56.0258895,1,Helensburgh to Balloch,9,14.4,1.5
102,-4.6345118,56.0259247,1,Helensburgh to Balloch,9,14.4,1.5
103,-4.6341092,56.0259504,1,Helensburgh to Balloch,9,14.4,1.5
104,-4.6340553,56.02613,1,Helensburgh to Balloch,9,14.4,1.5
105,-4.633931,56.0261955,1,Helensburgh to Balloch,9,14.4,1.5
106,-4.6337197,56.0262022,1,Helensburgh to Balloch,9,14.4,1.5
107,-4.6336301,56.0261848,1,Helensburgh to Balloch,9,14.4,1.5
108,-4.6336366,56.0260275,1,Helensburgh to Balloch,9,14.4,1.5
109,-4.6336147,56.02587,1,Helensburgh to Balloch,9,14.4,1.5
110,-4.633417,56.0254275,1,Helensburgh to Balloch,9,14.4,1.5
111,-4.6331328,56.0249891,1,Helensburgh to Balloch,9,14.4,1.5
112,-4.6328024,56.0245738,1,Helensburgh to Balloch,9,14.4,1.5
113,-4.6322166,56.023978,1,Helensburgh to Balloch,9,14.4,1.5
114,-4.6316642,56.0235323,1,Helensburgh to Balloch,9,14.4,1.5
115,-4.631149,56.0231461,1,Helensburgh to Balloch,9,14.4,1.5
116,-4.6305126,56.0227847,1,Helensburgh to Balloch,9,14.4,1.5
117,-4.6298259,56.022451,1,Helensburgh to Balloch,9,14.4,1.5
118,-4.6289493,56.0220948,1,Helensburgh to Balloch,9,14.4,1.5
119,-4.6278577,56.0217598,1,Helensburgh to Balloch,9,14.4,1.5
120,-4.6268915,56.0215441,1,Helensburgh to Balloch,9,14.4,1.5
121,-4.6259932,56.0213625,1,Helensburgh to Balloch,9,14.4,1.5
122,-4.6251077,56.0212311,1,Helensburgh to Balloch,9,14.4,1.5
123,-4.6231859,56.0210025,1,Helensburgh to Balloch,9,14.4,1.5
124,-4.6220014,56.0208269,1,Helensburgh to Balloch,9,14.4,1.5
125,-4.6211172,56.0207048,1,Helensburgh to Balloch,9,14.4,1.5
