index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
2020,-3.6275949,56.0085573,6,Linlithgow to South Queensferry,14,22.4,3
2021,-3.6269371,56.0086877,6,Linlithgow to South Queensferry,14,22.4,3
2022,-3.6272476,56.0092788,6,Linlithgow to South Queensferry,14,22.4,3
2023,-3.6274327,56.0095622,6,Linlithgow to South Queensferry,14,22.4,3
2024,-3.6277751,56.0100462,6,Linlithgow to South Queensferry,14,22.4,3
2025,-3.6279824,56.010294,6,Linlithgow to South Queensferry,14,22.4,3
2026,-3.6282168,56.0104846,6,Linlithgow to South Queensferry,14,22.4,3
2027,-3.6283531,56.0107024,6,Linlithgow to South Queensferry,14,22.4,3
2028,-3.6284424,56.0108562,6,Linlithgow to South Queensferry,14,22.4,3
2029,-3.6291014,56.0117302,6,Linlithgow to South Queensferry,14,22.4,3
2030,-3.6294514,56.0122462,6,Linlithgow to South Queensferry,14,22.4,3
2031,-3.6294079,56.0123356,6,Linlithgow to South Queensferry,14,22.4,3
2032,-3.6294854,56.0124685,6,Linlithgow to South Queensferry,14,22.4,3
2033,-3.6294316,56.0125097,6,Linlithgow to South Queensferry,14,22.4,3
2034,-3.6294445,56.012688,6,Linlithgow to South Queensferry,14,22.4,3
2035,-3.6295735,56.0131986,6,Linlithgow to South Queensferry,14,22.4,3
2036,-3.629236,56.0134539,6,Linlithgow to South Queensferry,14,22.4,3
2037,-3.6288859,56.0136633,6,Linlithgow to South Queensferry,14,22.4,3
2038,-3.6284615,56.0138812,6,Linlithgow to South Queensferry,14,22.4,3
2039,-3.6279353,56.0140699,6,Linlithgow to South Queensferry,14,22.4,3
2040,-3.6279576,56.0140926,6,Linlithgow to South Queensferry,14,22.4,3
2041,-3.6279769,56.0141168,6,Linlithgow to South Queensferry,14,22.4,3
2042,-3.6280354,56.0141772,6,Linlithgow to South Queensferry,14,22.4,3
2043,-3.6280545,56.0142031,6,Linlithgow to South Queensferry,14,22.4,3
2044,-3.6276375,56.0143863,6,Linlithgow to South Queensferry,14,22.4,3
2045,-3.6251951,56.0151522,6,Linlithgow to South Queensferry,14,22.4,3
2046,-3.6249072,56.0153963,6,Linlithgow to South Queensferry,14,22.4,3
2047,-3.6242541,56.0156684,6,Linlithgow to South Queensferry,14,22.4,3
2048,-3.6239322,56.0158063,6,Linlithgow to South Queensferry,14,22.4,3
2049,-3.6230632,56.0160342,6,Linlithgow to South Queensferry,14,22.4,3
2050,-3.6227413,56.0161122,6,Linlithgow to South Queensferry,14,22.4,3
2051,-3.6222371,56.0161481,6,Linlithgow to South Queensferry,14,22.4,3
2052,-3.6213788,56.0161002,6,Linlithgow to South Queensferry,14,22.4,3
2053,-3.6208423,56.0160582,6,Linlithgow to South Queensferry,14,22.4,3
2054,-3.6201771,56.0160102,6,Linlithgow to South Queensferry,14,22.4,3
2055,-3.6196622,56.0160222,6,Linlithgow to South Queensferry,14,22.4,3
2056,-3.6192545,56.0160642,6,Linlithgow to South Queensferry,14,22.4,3
2057,-3.6188253,56.0160702,6,Linlithgow to South Queensferry,14,22.4,3
2058,-3.6183747,56.0160342,6,Linlithgow to South Queensferry,14,22.4,3
2059,-3.6178812,56.0159622,6,Linlithgow to South Queensferry,14,22.4,3
2060,-3.6173984,56.0158963,6,Linlithgow to South Queensferry,14,22.4,3
2061,-3.6170121,56.0158003,6,Linlithgow to South Queensferry,14,22.4,3
2062,-3.6168512,56.0158003,6,Linlithgow to South Queensferry,14,22.4,3
2063,-3.6166353,56.0158074,6,Linlithgow to South Queensferry,14,22.4,3
2064,-3.6164068,56.0158298,6,Linlithgow to South Queensferry,14,22.4,3
2065,-3.6160895,56.0158458,6,Linlithgow to South Queensferry,14,22.4,3
2066,-3.6157998,56.0158543,6,Linlithgow to South Queensferry,14,22.4,3
2067,-3.6155818,56.0158677,6,Linlithgow to South Queensferry,14,22.4,3
2068,-3.6153594,56.0158979,6,Linlithgow to South Queensferry,14,22.4,3
2069,-3.6151309,56.0159446,6,Linlithgow to South Queensferry,14,22.4,3
2070,-3.6147162,56.0160222,6,Linlithgow to South Queensferry,14,22.4,3
2071,-3.6140402,56.0162021,6,Linlithgow to South Queensferry,14,22.4,3
2072,-3.613536,56.01634,6,Linlithgow to South Queensferry,14,22.4,3
2073,-3.6130639,56.016514,6,Linlithgow to South Queensferry,14,22.4,3
2074,-3.612516,56.0168374,6,Linlithgow to South Queensferry,14,22.4,3
2075,-3.6120964,56.0171277,6,Linlithgow to South Queensferry,14,22.4,3
2076,-3.6117365,56.0173933,6,Linlithgow to South Queensferry,14,22.4,3
2077,-3.6113238,56.0178087,6,Linlithgow to South Queensferry,14,22.4,3
2078,-3.6112109,56.017974100000004,6,Linlithgow to South Queensferry,14,22.4,3
2079,-3.6107871,56.0183924,6,Linlithgow to South Queensferry,14,22.4,3
2080,-3.6103687,56.0188092,6,Linlithgow to South Queensferry,14,22.4,3
2081,-3.6096659,56.0194958,6,Linlithgow to South Queensferry,14,22.4,3
2082,-3.6094165,56.0197086,6,Linlithgow to South Queensferry,14,22.4,3
2083,-3.6092636,56.0197821,6,Linlithgow to South Queensferry,14,22.4,3
2084,-3.6091402,56.0198181,6,Linlithgow to South Queensferry,14,22.4,3
2085,-3.608982,56.0198331,6,Linlithgow to South Queensferry,14,22.4,3
2086,-3.6087728,56.0198256,6,Linlithgow to South Queensferry,14,22.4,3
2087,-3.6086521,56.0198136,6,Linlithgow to South Queensferry,14,22.4,3
2088,-3.6080888,56.0197101,6,Linlithgow to South Queensferry,14,22.4,3
2089,-3.6068147,56.0193968,6,Linlithgow to South Queensferry,14,22.4,3
2090,-3.6063065,56.0192754,6,Linlithgow to South Queensferry,14,22.4,3
2091,-3.6062163,56.0192845,6,Linlithgow to South Queensferry,14,22.4,3
2092,-3.6060988,56.0193438,6,Linlithgow to South Queensferry,14,22.4,3
2093,-3.6059871,56.0194037,6,Linlithgow to South Queensferry,14,22.4,3
2094,-3.6058216,56.0196019,6,Linlithgow to South Queensferry,14,22.4,3
2095,-3.6057578,56.0196837,6,Linlithgow to South Queensferry,14,22.4,3
2096,-3.6055818,56.0197594,6,Linlithgow to South Queensferry,14,22.4,3
2097,-3.6052594,56.0202721,6,Linlithgow to South Queensferry,14,22.4,3
2098,-3.6051806,56.0203547,6,Linlithgow to South Queensferry,14,22.4,3
2099,-3.6050388,56.0203765,6,Linlithgow to South Queensferry,14,22.4,3
2100,-3.6036202,56.0201719,6,Linlithgow to South Queensferry,14,22.4,3
2101,-3.6026762,56.020028,6,Linlithgow to South Queensferry,14,22.4,3
2102,-3.6025233,56.0200384,6,Linlithgow to South Queensferry,14,22.4,3
2103,-3.6014665,56.0202288,6,Linlithgow to South Queensferry,14,22.4,3
2104,-3.6006485,56.0203638,6,Linlithgow to South Queensferry,14,22.4,3
2105,-3.5975666,56.0209079,6,Linlithgow to South Queensferry,14,22.4,3
2106,-3.5969819,56.0208959,6,Linlithgow to South Queensferry,14,22.4,3
2107,-3.5967244,56.0208719,6,Linlithgow to South Queensferry,14,22.4,3
2108,-3.5960619,56.020782,6,Linlithgow to South Queensferry,14,22.4,3
2109,-3.5952867,56.0206216,6,Linlithgow to South Queensferry,14,22.4,3
2110,-3.5945356999999998,56.0204867,6,Linlithgow to South Queensferry,14,22.4,3
2111,-3.5939081,56.0203787,6,Linlithgow to South Queensferry,14,22.4,3
2112,-3.5938464,56.0203158,6,Linlithgow to South Queensferry,14,22.4,3
2113,-3.5938786,56.0202813,6,Linlithgow to South Queensferry,14,22.4,3
2114,-3.5939777999999998,56.0202483,6,Linlithgow to South Queensferry,14,22.4,3
2115,-3.5941522,56.0202408,6,Linlithgow to South Queensferry,14,22.4,3
2116,-3.5942916,56.0202273,6,Linlithgow to South Queensferry,14,22.4,3
2117,-3.594407,56.0201434,6,Linlithgow to South Queensferry,14,22.4,3
2118,-3.5945356999999998,56.0200355,6,Linlithgow to South Queensferry,14,22.4,3
2119,-3.5946108,56.019875,6,Linlithgow to South Queensferry,14,22.4,3
2120,-3.5946269,56.0197341,6,Linlithgow to South Queensferry,14,22.4,3
