index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
4540,-2.7814156,56.0467674,9,Prestonpans to North Berwick,16.5,26.4,3
4541,-2.7791929,56.0469525,9,Prestonpans to North Berwick,16.5,26.4,3
4542,-2.779119,56.0468451,9,Prestonpans to North Berwick,16.5,26.4,3
4543,-2.7782246,56.0470919,9,Prestonpans to North Berwick,16.5,26.4,3
4544,-2.7774858,56.0473212,9,Prestonpans to North Berwick,16.5,26.4,3
4545,-2.776874,56.0474777,9,Prestonpans to North Berwick,16.5,26.4,3
4546,-2.7760981,56.047617,9,Prestonpans to North Berwick,16.5,26.4,3
4547,-2.7759962,56.0476341,9,Prestonpans to North Berwick,16.5,26.4,3
4548,-2.7754051,56.0477147,9,Prestonpans to North Berwick,16.5,26.4,3
4549,-2.7746451,56.0477991,9,Prestonpans to North Berwick,16.5,26.4,3
4550,-2.7735943,56.047895,9,Prestonpans to North Berwick,16.5,26.4,3
4551,-2.7733674,56.0479189,9,Prestonpans to North Berwick,16.5,26.4,3
4552,-2.7731605,56.0479419,9,Prestonpans to North Berwick,16.5,26.4,3
4553,-2.7729804,56.0479678,9,Prestonpans to North Berwick,16.5,26.4,3
4554,-2.7728068,56.0479974,9,Prestonpans to North Berwick,16.5,26.4,3
4555,-2.772639,56.0480303,9,Prestonpans to North Berwick,16.5,26.4,3
4556,-2.772469,56.0480736,9,Prestonpans to North Berwick,16.5,26.4,3
4557,-2.7722991,56.0481211,9,Prestonpans to North Berwick,16.5,26.4,3
4558,-2.7720094,56.0482356,9,Prestonpans to North Berwick,16.5,26.4,3
4559,-2.7703771,56.0491228,9,Prestonpans to North Berwick,16.5,26.4,3
4560,-2.7690874,56.0497954,9,Prestonpans to North Berwick,16.5,26.4,3
4561,-2.768988,56.0498291,9,Prestonpans to North Berwick,16.5,26.4,3
4562,-2.768877,56.049835,9,Prestonpans to North Berwick,16.5,26.4,3
4563,-2.768762,56.0498121,9,Prestonpans to North Berwick,16.5,26.4,3
4564,-2.7684236,56.0497131,9,Prestonpans to North Berwick,16.5,26.4,3
4565,-2.7679256,56.0501579,9,Prestonpans to North Berwick,16.5,26.4,3
4566,-2.7675519,56.050426,9,Prestonpans to North Berwick,16.5,26.4,3
4567,-2.7671956,56.0506408,9,Prestonpans to North Berwick,16.5,26.4,3
4568,-2.766509,56.0510072,9,Prestonpans to North Berwick,16.5,26.4,3
4569,-2.7654618,56.0514464,9,Prestonpans to North Berwick,16.5,26.4,3
